date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Mkt_RF,SMB,HML,RMW,CMA,RF,UMD,other
1976m02,-1.07,3.88,1.73,-3.11,1.16,3.57,4.68,-6.53,-3.52,0.32,7.99,5.87,-2.64,3.87,0.34,0.38,0.232367962
1976m03,0.73,3.53,1.14,7.22,2.93,0.58,3.46,6.53,1.44,2.32,-1.38,-0.12,-0.33,0.96,0.4,0.15,0.022645757
1976m04,-1.67,1.84,-1.42,2.15,-3.41,1.72,-4.67,-4.3,0.63,-1.49,0.08,-0.16,0.4,-1.1,0.42,0.59,0.945005001
1976m05,-2.15,-3.11,-1.23,5.51,0.49,-2.94,-5.77,-2.81,-1.46,-1.34,-1.1,-1.36,2.46,-1.41,0.37,-1.12,0.46541986
1976m06,3.62,4.22,3.7,5.09,8.2,3.58,1.52,3.67,4.25,4.05,-1.07,0.71,-0.68,1.02,0.43,-0.42,0.762467759
1976m07,1.48,-1.06,-1.85,-0.62,-2.2,1.25,-2.33,-0.38,2.82,-1.07,0.63,1.73,-1.05,0.28,0.47,-0.13,0.383955184
1976m08,-0.31,-1.44,-1.68,-0.86,-0.83,4.74,2.89,2.17,2.96,-0.56,-1.98,0.81,-0.42,-0.55,0.42,-0.85,0.475722689
1976m09,1.55,4.49,1.08,5.91,2.9,1.59,0.43,3.62,4.08,2.07,0.1,-0.29,0.98,-1.15,0.44,0.22,0.716815217
1976m10,-1.62,-1.15,-3.27,-2.42,-4.5,1.29,-0.89,-3.74,-0.81,-2.42,0.13,-0.18,-0.19,-0.37,0.41,-0.44,0.243315603
1976m11,1.74,-0.71,-0.38,0.82,1.64,3.14,4.84,-9.71,3.14,0.36,2.66,1.51,-1.41,0.09,0.4,2.91,0.959760794
1976m12,5.22,9.67,5.85,6.33,3.85,3.44,2.33,6.26,6.49,5.65,3.64,2.27,-0.61,2.28,0.4,0.73,0.774545424
1977m01,-4.09,-4.2,-6.01,0.29,-3.87,0.11,-7.15,-8.84,0.84,-4.05,5.9,4.27,-0.51,1.97,0.36,4,0.13899102
1977m02,-1.39,-3.49,-0.63,-3.01,-0.63,0.99,-1.83,-0.21,-3.4,-1.94,1.07,0.47,-0.16,-0.22,0.35,0.36,0.801556113
1977m03,-1.39,-3.34,-0.34,-2.08,-0.03,-1.03,-2.76,-1.79,0.19,-1.37,1.31,1.09,-0.3,-0.06,0.38,0.55,0.364716975
1977m04,0.53,3.16,0.58,2.53,-3.46,0.66,-3.43,-5.21,1.94,0.15,0.61,3.38,-2.01,1.14,0.38,4.21,0.530722815
1977m05,-0.94,-0.49,-2.96,-0.41,-1.49,1.44,-2.76,-1.88,1.68,-1.45,1.31,0.85,0.33,0.19,0.37,2.03,0.623033744
1977m06,4.53,4.29,3.4,6.09,7.77,1.93,6.06,9.03,5.7,4.71,2.08,-0.74,0.91,-1.2,0.4,1.66,0.843706647
1977m07,1.22,-2.44,-3.62,-1.8,-0.16,-0.86,-0.18,-2.24,0.87,-1.69,1.88,-0.56,0.73,0.09,0.42,0.32,0.940873242
1977m08,0.11,-0.85,-1.26,-5.77,0.5,-2.26,4.62,3.83,-3.23,-1.75,0.86,-2.7,0.98,-0.66,0.44,-1.7,0.926525058
1977m09,0.25,1.55,-0.98,0.73,-1.78,3.48,-0.71,-0.89,2.01,-0.27,1.43,-0.52,1.43,-0.84,0.43,2,0.53440114
1977m10,-3.35,-4.46,-4.58,-3.55,-3.22,-5.05,-3.17,-1.75,-3.14,-4.38,1.48,1.75,-0.2,-0.3,0.49,-0.08,0.399270657
1977m11,4.59,1.95,4.33,3.45,5.25,2.18,5.58,6.08,4.28,4,3.64,0.26,-0.13,0.73,0.5,2.01,0.139163938
1977m12,0,-0.75,0.73,1.89,2.39,2.15,-1.25,0.62,-0.33,0.27,1.59,-0.29,0.92,-0.69,0.49,1.58,0.343493986
1978m01,-5.3,-6.86,-6.05,-6.93,-4.75,-4.16,-6.84,-1.92,-4.53,-6.01,2.72,3.36,-1.72,1.52,0.49,-0.66,0.636927784
1978m02,0.12,0.39,-2.62,-1.08,-3.45,4.13,-0.43,-3,-0.41,-1.38,3.7,0.83,0.3,1.01,0.46,1.97,0.286592964
1978m03,4.17,6.09,3.9,2.06,-0.61,2.62,2.86,4.17,2.47,2.85,3.71,1.18,-0.59,1.89,0.53,1.37,0.828076034
1978m04,6.92,9.62,11.46,6.71,13.3,2.93,10.84,9.25,0.18,7.88,-0.26,-3.54,2.81,-1.26,0.54,0.86,0.751925408
1978m05,4.22,0.2,4.12,0.89,1.67,-0.39,1.25,5.17,0.71,1.76,4.58,-0.52,0.22,0.41,0.51,2.83,0.752341837
